g_id,omim_id,hpo_ids
A2ML1,OMIM:166760,"['HP:0000006', 'HP:0010982', 'HP:0000403']"
AAAS,OMIM:231550,"['HP:0001251', 'HP:0008163', 'HP:0001347', 'HP:0000252', 'HP:0001324', 'HP:0009916', 'HP:0000522', 'HP:0000522', 'HP:0002571', 'HP:0003676', 'HP:0004322', 'HP:0000007', 'HP:0001260', 'HP:0004319', 'HP:0001249', 'HP:0003487', 'HP:0001278', 'HP:0000953', 'HP:0008259', 'HP:0011463', 'HP:0000972', 'HP:0001263', 'HP:0007002', 'HP:0000649', 'HP:0012332', 'HP:0000648']"
AAGAB,OMIM:148600,"['HP:0040162', 'HP:0000006', 'HP:0001425', 'HP:0003584', 'HP:0025114', 'HP:0007530', 'HP:0007530', 'HP:0007530', 'HP:0007530', 'HP:0025092']"
AARS1,OMIM:613287,"['HP:0003596', 'HP:0000006', 'HP:0001761', 'HP:0003621', 'HP:0000407', 'HP:0003477', 'HP:0003431', 'HP:0001284', 'HP:0003438', 'HP:0008944', 'HP:0007340', 'HP:0009027', 'HP:0001765', 'HP:0001265', 'HP:0002936', 'HP:0011462', 'HP:0002460']"
AARS1,OMIM:616339,"['HP:0001257', 'HP:0002827', 'HP:0001508', 'HP:0001838', 'HP:0000643', 'HP:0001284', 'HP:0000639', 'HP:0002072', 'HP:0002310', 'HP:0004322', 'HP:0200134', 'HP:0032794', 'HP:0000007', 'HP:0009830', 'HP:0003593', 'HP:0003577', 'HP:0003577', 'HP:0002059', 'HP:0001263', 'HP:0001511', 'HP:0002451', 'HP:0000252', 'HP:0003429']"
AARS1,OMIM:619661,"['HP:0000726', 'HP:0003581', 'HP:0000006', 'HP:0000751', 'HP:0012377', 'HP:0010871', 'HP:0012196', 'HP:0002355', 'HP:0002352', 'HP:0030903', 'HP:0002063', 'HP:0001332', 'HP:0031358']"
AARS1,OMIM:619691,"['HP:0002188', 'HP:0008003', 'HP:0003487', 'HP:0000007', 'HP:0000973', 'HP:0000964', 'HP:0000278', 'HP:0045075', 'HP:0100876', 'HP:0008070', 'HP:0002599', 'HP:0003593', 'HP:0011448', 'HP:0001284', 'HP:0001263', 'HP:0000448', 'HP:0000601', 'HP:0001264', 'HP:0009886', 'HP:0002224', 'HP:0012179', 'HP:0000219', 'HP:0020045', 'HP:0000411', 'HP:0000343']"
AARS2,OMIM:614096,"['HP:0003128', 'HP:0002089', 'HP:0001508', 'HP:0003324', 'HP:0001639', 'HP:0002151', 'HP:0001522', 'HP:0000007', 'HP:0002353']"
AARS2,OMIM:615889,"['HP:0001260', 'HP:0002371', 'HP:0001272', 'HP:0002180', 'HP:0003676', 'HP:0002186', 'HP:0006970', 'HP:0000007', 'HP:0000726', 'HP:0006980', 'HP:0000716', 'HP:0001251', 'HP:0001332', 'HP:0001337', 'HP:0001257', 'HP:0008209', 'HP:0000639']"
AASS,OMIM:238700,"['HP:0001083', 'HP:0000750', 'HP:0001252', 'HP:0001903', 'HP:0000736', 'HP:0001249', 'HP:0003593', 'HP:0100543', 'HP:0000752', 'HP:0001256', 'HP:0000007', 'HP:0002161', 'HP:0000119', 'HP:0001250']"
