g_id,hpo_ids
A2ML1,"['HP:0010982', 'HP:0000403', 'HP:0000006']"
AAAS,"['HP:0001347', 'HP:0000648', 'HP:0008259', 'HP:0003676', 'HP:0011463', 'HP:0000007', 'HP:0000252', 'HP:0001324', 'HP:0009916', 'HP:0000953', 'HP:0003487', 'HP:0002571', 'HP:0000972', 'HP:0012332', 'HP:0007002', 'HP:0008163', 'HP:0004322', 'HP:0000522', 'HP:0000649', 'HP:0001278', 'HP:0001251', 'HP:0001249', 'HP:0001260', 'HP:0001263', 'HP:0004319']"
AAGAB,"['HP:0007530', 'HP:0003584', 'HP:0001425', 'HP:0025114', 'HP:0040162', 'HP:0000006', 'HP:0025092']"
AARS1,"['HP:0031358', 'HP:0030903', 'HP:0007340', 'HP:0002936', 'HP:0000639', 'HP:0008003', 'HP:0003596', 'HP:0002827', 'HP:0001264', 'HP:0003577', 'HP:0008070', 'HP:0100876', 'HP:0000411', 'HP:0000343', 'HP:0000726', 'HP:0001761', 'HP:0012377', 'HP:0003581', 'HP:0009886', 'HP:0001838', 'HP:0001257', 'HP:0012196', 'HP:0000007', 'HP:0002072', 'HP:0001284', 'HP:0000643', 'HP:0000252', 'HP:0000006', 'HP:0000964', 'HP:0000601', 'HP:0002460', 'HP:0002063', 'HP:0009830', 'HP:0003477', 'HP:0020045', 'HP:0003487', 'HP:0001511', 'HP:0200134', 'HP:0003429', 'HP:0002352', 'HP:0000278', 'HP:0000407', 'HP:0001332', 'HP:0002224', 'HP:0002310', 'HP:0012179', 'HP:0011448', 'HP:0008944', 'HP:0000973', 'HP:0003431', 'HP:0002451', 'HP:0009027', 'HP:0001508', 'HP:0002355', 'HP:0000448', 'HP:0004322', 'HP:0003621', 'HP:0003593', 'HP:0001265', 'HP:0010871', 'HP:0000219', 'HP:0032794', 'HP:0002599', 'HP:0045075', 'HP:0003438', 'HP:0002059', 'HP:0002188', 'HP:0001263', 'HP:0011462', 'HP:0000751', 'HP:0001765']"
AARS2,"['HP:0000639', 'HP:0001337', 'HP:0006970', 'HP:0002151', 'HP:0000726', 'HP:0003676', 'HP:0001257', 'HP:0002180', 'HP:0000007', 'HP:0002353', 'HP:0002186', 'HP:0002371', 'HP:0006980', 'HP:0001332', 'HP:0008209', 'HP:0002089', 'HP:0001508', 'HP:0000716', 'HP:0001522', 'HP:0003128', 'HP:0001272', 'HP:0001639', 'HP:0003324', 'HP:0001251', 'HP:0001260']"
AASS,"['HP:0002161', 'HP:0000119', 'HP:0000752', 'HP:0000007', 'HP:0001250', 'HP:0000750', 'HP:0001903', 'HP:0001252', 'HP:0000736', 'HP:0001083', 'HP:0100543', 'HP:0001256', 'HP:0001249', 'HP:0003593']"
ABAT,"['HP:0000278', 'HP:0001347', 'HP:0001274', 'HP:0003819', 'HP:0001254', 'HP:0002415', 'HP:0007291', 'HP:0025430', 'HP:0000494', 'HP:0000007', 'HP:0001250', 'HP:0025356', 'HP:0000098', 'HP:0006829', 'HP:0001321', 'HP:0001263']"
ABCA1,"['HP:0001349', 'HP:0001677', 'HP:0005181', 'HP:0001712', 'HP:0002240', 'HP:0000656', 'HP:0010829', 'HP:0003233', 'HP:0000007', 'HP:0001658', 'HP:0000006', 'HP:0003693', 'HP:0000505', 'HP:0003477', 'HP:0011096', 'HP:0000958', 'HP:0002164', 'HP:0007759', 'HP:0001265', 'HP:0007328', 'HP:0025608', 'HP:0008404', 'HP:0001744']"
ABCA12,"['HP:0000520', 'HP:0000656', 'HP:0001217', 'HP:0007431', 'HP:0000982', 'HP:0003577', 'HP:0009381', 'HP:0000007', 'HP:0001820', 'HP:0001622', 'HP:0002063', 'HP:0007479', 'HP:0000232']"
ABCA2,"['HP:0002286', 'HP:0011342', 'HP:0000718', 'HP:0001256', 'HP:0000007', 'HP:0000519', 'HP:0001250', 'HP:0000252', 'HP:0002311', 'HP:0001324', 'HP:0003141', 'HP:0001260', 'HP:0031936', 'HP:0002066']"
ABCA3,"['HP:0002098', 'HP:0002875', 'HP:0025390', 'HP:0003577', 'HP:0002643', 'HP:0025391', 'HP:0002878', 'HP:0025179', 'HP:0000961', 'HP:0025394', 'HP:0033542', 'HP:0000007', 'HP:0002789', 'HP:0025392', 'HP:0001217', 'HP:0002104', 'HP:0031950', 'HP:0001508', 'HP:0012735', 'HP:0033584', 'HP:0001522', 'HP:0012418', 'HP:0032980', 'HP:0003811', 'HP:0002206', 'HP:0033649', 'HP:0006517', 'HP:0005942', 'HP:0025175']"
ABCA4,"['HP:0000580', 'HP:0000662', 'HP:0007722', 'HP:0000551', 'HP:0007994', 'HP:0000548', 'HP:0000603', 'HP:0011463', 'HP:0000007', 'HP:0008035', 'HP:0000608', 'HP:0001133', 'HP:0000006', 'HP:0000512', 'HP:0000543', 'HP:0000510', 'HP:0007737', 'HP:0003621', 'HP:0011504', 'HP:0007663', 'HP:0000572', 'HP:0007843', 'HP:0007984', 'HP:0011462']"
ABCA5,"['HP:0000169', 'HP:0000414', 'HP:0012810', 'HP:0000007', 'HP:0000494', 'HP:0001007', 'HP:0000998', 'HP:0000286', 'HP:0009928', 'HP:0004540']"
ABCA7,"['HP:0100256', 'HP:0002120', 'HP:0002354', 'HP:0003584', 'HP:0000734', 'HP:0410170', 'HP:0002185', 'HP:0000006', 'HP:0002071', 'HP:0000716', 'HP:0002511']"
ABCB1,['HP:0002037']
ABCB11,"['HP:0001081', 'HP:0003819', 'HP:0003155', 'HP:0002908', 'HP:0001394', 'HP:0001046', 'HP:0002014', 'HP:0001406', 'HP:0000007', 'HP:0000989', 'HP:0002630', 'HP:0000952', 'HP:0001402', 'HP:0001744', 'HP:0001508', 'HP:0002240', 'HP:0004322', 'HP:0003593']"
